                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
004098	DRESSLER GMBH & CO.
004099	NEWGEN SYSTEMS CORP.
00409A	Network Express Inc
00409B	HAL COMPUTER SYSTEMS INC.
00409C	Transware
00409D	DigiBoard		Ethernet-ISDN bridges
00409E	Concurrent Technologies Ltd.
00409F	Lancast/	# Lancast/Casat Technology Inc
0040A0	GOLDSTAR CO., LTD.
0040A1	ERGO COMPUTING
0040A2	KINGSTAR TECHNOLOGY INC.
0040A3	MICROUNITY SYSTEMS ENGINEERING
0040A4	Rose Electronics
0040A5	CLINICOMP INTL.
0040A6	Cray Research Inc.
0040A7	ITAUTEC PHILCO S.A.
0040A8	IMF INTERNATIONAL LTD.
0040A9	DATACOM INC.
0040AA	Valmet Automation Inc
0040AB	ROLAND DG CORPORATION
0040AC	SUPER WORKSTATION, INC.
0040AD	SMA Regelsysteme Gmbh
0040AE	Delta Controls, Inc.
0040AF	Digital Products, Inc. (DPI).
0040B0	BYTEX CORPORATION, ENGINEERING
0040B1	CODONICS INC.
0040B2	SYSTEMFORSCHUNG
0040B3	ParTech Inc.
0040B4	3COM K.K.
0040B5	Video Technology Computers Ltd
0040B6	Computerm Corporation
0040B7	STEALTH COMPUTER SYSTEMS
0040B8	IDEA ASSOCIATES
0040B9	MACQ Electronique SA
0040BA	ALLIANT COMPUTER SYSTEMS CORP.
0040BB	GOLDSTAR CABLE CO., LTD.
0040BC	ALGORITHMICS LTD.
0040BD	Starlight Networks Inc
0040BE	BOEING DEFENSE & SPACE
0040BF	CHANNEL SYSTEMS INTERN'L INC.
0040C0	VISTA CONTROLS CORPORATION
0040C1	Bizerba-	# Bizerba-Werke Wilheim Kraut
0040C2	Applied Computing Devices
0040C3	Fischer and Porter Co.
0040C4	KINKEI SYSTEM CORPORATION
0040C5	Micom Communications Corp.
0040C6	Fibernet Research, Inc.
0040C7	Danpex Corporation
0040C8	Milan Technology Corp.
0040C9	Ncube
0040CA	FIRST INTERNAT'L COMPUTER, INC
0040CB	LANWAN TECHNOLOGIES
0040CC	Silcom Manufacturing Technology Inc
0040CD	TERA MICROSYSTEMS, INC.
0040CE	NET-SOURCE, INC.
0040CF	Strawberry Tree Inc
0040D0	DEC/Compaq
0040D1	FUKUDA DENSHI CO., LTD.
0040D2	Pagine Corporation
0040D3	KIMPSION INTERNATIONAL CORP.
0040D4	Gage Talker Corp.
0040D5	Sartorius Mechatronics T&H GmbH
0040D6	LOCAMATION B.V.
0040D7	Studio Gen Inc
0040D8	Ocean Office Automation Ltd
0040D9	AMERICAN MEGATRENDS INC.
0040DA	TELSPEC LTD
0040DB	ADVANCED TECHNICAL SOLUTIONS
0040DC	Tritec Electronic Gmbh
0040DD	HONG TECHNOLOGIES
0040DE	Elsag Datamat spa
0040DF	Digalog Systems, Inc.
0040E0	ATOMWIDE LTD.
0040E1	Marner International Inc
0040E2	Mesa Ridge Technologies Inc
0040E3	Quin Systems Ltd
0040E4	E-M TECHNOLOGY, INC.
0040E5	Sybus Corporation
0040E6	C.A.E.N.
0040E7	Arnos Instruments & Computer
0040E8	CHARLES RIVER DATA SYSTEMS,INC
0040E9	Accord Systems, Inc.
0040EA	PlainTree Systems Inc
0040EB	MARTIN MARIETTA CORPORATION
0040EC	MIKASA SYSTEM ENGINEERING
0040ED	Network Controls International Inc
0040EE	Optimem
